dia	tipo de actividad	Horario de inicio	Horario de fin	turno	capacidad	label
MARTES	CHARLA	9:30	10:30	MAÑANA	400	ALGEBRA Y GEOMETRIA CON MERCEDES PEREZ MILLAN
MARTES	CHARLA	11:30	12:30	MAÑANA	400	DETECTIVE DE DATOS. GUILLERMO SOLOVEY
MARTES	CHARLA	14:00	15:00	TARDE	400	¿COMO ENSEÑARLE A UNA COMPUTADORA? (Y QUE APRENDA) PABLO  TURCO
MARTES	CHARLA	10:30	11:30	MAÑANA	400	Algo
MIERCOLES	CHARLA	9:30	10:30	MAÑANA	400	SIETE AREAS EN LAS QUE LA CIENCIA DE DATOS CAMBIO AL MUNDO FINANCIERO. MANUEL MAURETTE
MIERCOLES	CHARLA	11:30	12:30	MAÑANA	400	COMO BARAJAR UN MAZO DE CARTAS. UN TUTORIAL. INES ARMENDARIZ
MIERCOLES	CHARLA	14:00	15:00	TARDE	400	¿HAY MATEMATICA EN UNA FOTO? VICTORIA PATERNOSTRO
MIERCOLES	CHARLA	10:30	11:30	MAÑANA	400	Algo
JUEVES	CHARLA	9:30	10:30	MAÑANA	400	COMO USAR LA MATEMATICA PARA VER LO QUE NO SE VE. SANDRA MARTINEZ
JUEVES	CHARLA	11:30	12:30	MAÑANA	400	LA ESTADISTICA, ¿ES UNA MISION IMPOSIBLE? MARIELA SUED
JUEVES	CHARLA	14:00	15:00	TARDE	400	APLICANDO APRENDIZAJE AUTOMATICO A LA FISICA Y FISICA AL APRENDIZAJE AUTOMATICO. PATRICIO CLARK DI LEONI
JUEVES	CHARLA	10:30	11:30	MAÑANA	400	Algo
MARTES	STAND	9:30	10:30	MAÑANA	250	A
MARTES	STAND	10:30	11:30	MAÑANA	250	B
MARTES	STAND	11:30	12:30	MAÑANA	250	C
MARTES	STAND	13:00	14:00	TARDE	250	D
MARTES	STAND	14:00	15:00	TARDE	250	E
MARTES	STAND	15:00	16:00	TARDE	250	F
MIERCOLES	STAND	9:30	10:30	MAÑANA	250	G
MIERCOLES	STAND	10:30	11:30	MAÑANA	250	H
MIERCOLES	STAND	11:30	12:30	MAÑANA	250	I
MIERCOLES	STAND	13:00	14:00	TARDE	250	J
MIERCOLES	STAND	14:00	15:00	TARDE	250	K
MIERCOLES	STAND	15:00	16:00	TARDE	250	L
JUEVES	STAND	9:30	10:30	MAÑANA	250	M
JUEVES	STAND	10:30	11:30	MAÑANA	250	N
JUEVES	STAND	11:30	12:30	MAÑANA	250	Ñ
JUEVES	STAND	13:00	14:00	TARDE	250	O
JUEVES	STAND	14:00	15:00	TARDE	250	P
JUEVES	STAND	15:00	16:00	TARDE	250	sfasf
MARTES	TALLER	9:30	10:30	MAÑANA	40	V
MARTES	TALLER	10:30	11:30	MAÑANA	40	W
MARTES	TALLER	11:30	12:30	MAÑANA	40	Y
MARTES	TALLER	14:00	15:00	TARDE	40	Z
MARTES	TALLER	15:00	16:00	TARDE	40	vxc
MIERCOLES	TALLER	9:30	10:30	MAÑANA	40	dfg
MIERCOLES	TALLER	10:30	11:30	MAÑANA	40	dfg
MIERCOLES	TALLER	11:30	12:30	MAÑANA	40	dfg
MIERCOLES	TALLER	14:00	15:00	TARDE	40	dfg
MIERCOLES	TALLER	15:00	16:00	TARDE	40	dfg
JUEVES	TALLER	9:30	10:30	MAÑANA	40	h
JUEVES	TALLER	10:30	11:30	MAÑANA	40	sgd
JUEVES	TALLER	11:30	12:30	MAÑANA	40	sdfg
JUEVES	TALLER	14:00	15:00	TARDE	40	bgf
JUEVES	TALLER	15:00	16:00	TARDE	40	dfg
MARTES	VISITA	10:30	11:30	MAÑANA	40	dfgre
MARTES	VISITA	11:30	12:30	MAÑANA	40	dfgerg
MARTES	VISITA	14:00	15:00	TARDE	40	dfgdfgre
MARTES	VISITA	15:00	16:00	TARDE	40	dfgdfger
MIERCOLES	VISITA	10:30	11:30	MAÑANA	40	dfgdfgre
MIERCOLES	VISITA	11:30	12:30	MAÑANA	40	dfgergte
MIERCOLES	VISITA	14:00	15:00	TARDE	40	dfgergte
MIERCOLES	VISITA	15:00	16:00	TARDE	40	dfgerg
JUEVES	VISITA	10:30	11:30	MAÑANA	40	dfgerg
JUEVES	VISITA	11:30	12:30	MAÑANA	40	dfegre
JUEVES	VISITA	14:00	15:00	TARDE	40	dfger
JUEVES	VISITA	15:00	16:00	TARDE	40	dfgre
